epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2
249,0.14826,0.15096,0.12587,0.12526,2.5,48,333
250,0.1484,0.1515,0.12586,0.12522,2.5,52,333
251,0.14902,0.15228,0.12581,0.12516,2.51,54,333
252,0.15078,0.1538,0.12568,0.12505,2.52,54,333
253,0.15286,0.15545,0.12553,0.12493,2.53,51,333
254,0.15432,0.15643,0.12542,0.12486,2.54,49,332
255,0.15488,0.15651,0.12538,0.12485,2.54,47,332
256,0.15503,0.15627,0.12537,0.12487,2.55,46,332
257,0.15533,0.15634,0.12534,0.12486,2.56,45,332
258,0.15604,0.15705,0.12529,0.12481,2.57,46,332
259,0.15706,0.15823,0.12522,0.12472,2.58,48,332
260,0.15804,0.15947,0.12514,0.12463,2.59,50,332
261,0.15867,0.16041,0.1251,0.12456,2.59,53,333
262,0.15899,0.16106,0.12507,0.12451,2.6,56,333
263,0.15926,0.16153,0.12505,0.12448,2.61,57,333
264,0.1597,0.16204,0.12502,0.12444,2.62,58,333
265,0.16038,0.16264,0.12497,0.1244,2.63,57,333
266,0.16117,0.16322,0.12491,0.12435,2.64,56,333
267,0.1619,0.16368,0.12486,0.12432,2.65,54,333
268,0.16248,0.16403,0.12481,0.12429,2.65,53,333
269,0.16296,0.16436,0.12478,0.12427,2.66,51,332
270,0.16346,0.16479,0.12474,0.12423,2.67,50,332
271,0.16409,0.16546,0.12469,0.12419,2.68,50,332
272,0.16483,0.16633,0.12464,0.12412,2.69,50,332
273,0.16558,0.16726,0.12458,0.12405,2.7,51,332
274,0.16624,0.16814,0.12453,0.12399,2.7,52,333
275,0.16678,0.16887,0.12449,0.12393,2.71,53,333
276,0.16729,0.16952,0.12445,0.12388,2.72,53,333
277,0.16782,0.17011,0.12441,0.12384,2.74,53,333
278,0.1684,0.17067,0.12437,0.1238,2.75,52,333
279,0.16899,0.17118,0.12433,0.12376,2.75,51,333
280,0.16952,0.17163,0.12429,0.12373,2.76,50,332
